file_stem,image_found,json_found,image_count,json_count,image_path,json_path,status
0039_1988_34_00000048_D,False,True,0,1,,C:\Users\USER\Desktop\new_face\extracted\Training\02.라벨링데이터\TL_0039\0039_1988_34_00000048_D.json,MISSING_IMAGE
0039_1988_34_00000048_d,True,False,1,0,C:\Users\USER\Desktop\new_face\extracted\Training\01.원천데이터\TS_0039\0039_1988_34_00000048_d.png,,MISSING_JSON
0039_1988_34_00000049_D,False,True,0,1,,C:\Users\USER\Desktop\new_face\extracted\Training\02.라벨링데이터\TL_0039\0039_1988_34_00000049_D.json,MISSING_IMAGE
0039_1988_34_00000049_d,True,False,1,0,C:\Users\USER\Desktop\new_face\extracted\Training\01.원천데이터\TS_0039\0039_1988_34_00000049_d.png,,MISSING_JSON
0039_1988_34_00000050_D,False,True,0,1,,C:\Users\USER\Desktop\new_face\extracted\Training\02.라벨링데이터\TL_0039\0039_1988_34_00000050_D.json,MISSING_IMAGE
0039_1988_34_00000050_d,True,False,1,0,C:\Users\USER\Desktop\new_face\extracted\Training\01.원천데이터\TS_0039\0039_1988_34_00000050_d.png,,MISSING_JSON
0047_1987_01_00000015_F,False,True,0,1,,C:\Users\USER\Desktop\new_face\extracted\Training\02.라벨링데이터\TL_0047\0047_1987_01_00000015_F.json,MISSING_IMAGE
0047_1987_01_00000015_f,True,False,1,0,C:\Users\USER\Desktop\new_face\extracted\Training\01.원천데이터\TS_0047\0047_1987_01_00000015_f.png,,MISSING_JSON
0047_1987_03_00000040_D,False,True,0,1,,C:\Users\USER\Desktop\new_face\extracted\Training\02.라벨링데이터\TL_0047\0047_1987_03_00000040_D.json,MISSING_IMAGE
0047_1987_03_00000040_d,True,False,1,0,C:\Users\USER\Desktop\new_face\extracted\Training\01.원천데이터\TS_0047\0047_1987_03_00000040_d.png,,MISSING_JSON
0047_1987_04_00000041_F,False,True,0,1,,C:\Users\USER\Desktop\new_face\extracted\Training\02.라벨링데이터\TL_0047\0047_1987_04_00000041_F.json,MISSING_IMAGE
0047_1987_04_00000041_f,True,False,1,0,C:\Users\USER\Desktop\new_face\extracted\Training\01.원천데이터\TS_0047\0047_1987_04_00000041_f.png,,MISSING_JSON
